,reg_code,reg_name,AR6WG1_R58x,GFED_R14x,Global,GLOBIOM_R30,GLOBIOM_R37,IAMC_R10,IAMC_R5,IAMC_R9,MESSAGE_R11,MESSAGE_R12,RECCAP_R18x,Resolution_0p125deg,Resolution_0p25deg,Resolution_0p5deg,Resolution_1deg,Resolution_2deg,Resolution_2p5deg,SREX_R26x
144,KOR,South Korea,EAS,CEAS,XXL,KOR,KOR,CHINA+,ASIA,OTHERASIA,PAS,PAS,KAJ,KOR,KOR,KOR,KOR,KOR,KOR,EAS
145,KWT,Kuwait,ARP,MIDE,XXL,MidEastNAfr,MidEast,MIDDLE_EAST,MAF,MAF,MEA,MEA,MIDE,KWT,KWT,KWT,KWT,KWT,KWT,WAS
146,LAO,Laos,SEA,SEAS,XXL,RSEA_PAC,RSEA_PAC,REST_ASIA,ASIA,OTHERASIA,CPA,RCPA,SEAS,LAO,LAO,LAO,LAO,LAO,LAO,SEA
147,LBN,Lebanon,MED,MIDE,XXL,MidEastNAfr,MidEast,MIDDLE_EAST,MAF,MAF,MEA,MEA,MIDE,LBN,LBN,LBN,LBN,LBN,XXX,MED
148,LBR,Liberia,WAF,NHAF,XXL,WestCentAfr,WestCentAfr,AFRICA,MAF,MAF,AFR,AFR,EQAF,LBR,LBR,LBR,LBR,LBR,LBR,WAF
149,LBY,Libya,SAH,MIDE,XXL,MidEastNAfr,NAfr,AFRICA,MAF,MAF,MEA,MEA,NAF,LBY,LBY,LBY,LBY,LBY,LBY,SAH
150,LCA,Saint Lucia,CAR,CEAM,XXL,RCAM,RCAM,LATIN_AM,LAM,LAM,LAM,LAM,XXX,LCA,LCA,LCA,LCA,LCA,XXX,XXX
151,LIE,Liechtenstein,WCE,EURO,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,WEU,WEU,EU,LIE,LIE,LIE,XXX,XXX,XXX,CEU
152,LKA,Sri Lanka,BOB,SEAS,XXL,RSAS,RSAS,INDIA+,ASIA,OTHERASIA,SAS,SAS,SAS,LKA,LKA,LKA,LKA,LKA,LKA,SAS
153,LSO,Lesotho,ESAF,SHAF,XXL,RoSAfr,RoSAfr,AFRICA,MAF,MAF,AFR,AFR,SAF,LSO,LSO,LSO,LSO,LSO,LSO,SAF
154,LTU,Lithuania,WCE,EURO,XXL,EU_Baltic,EU_Baltic,EUROPE,OECD90+EU,EU,EEU,EEU,EU,LTU,LTU,LTU,LTU,LTU,LTU,CEU
155,LUX,Luxembourg,WCE,EURO,XXL,EU_MidWest,EU_MidWest,EUROPE,OECD90+EU,EU,WEU,WEU,EU,LUX,LUX,LUX,LUX,LUX,LUX,CEU
156,LVA,Latvia,WCE,EURO,XXL,EU_Baltic,EU_Baltic,EUROPE,OECD90+EU,EU,EEU,EEU,EU,LVA,LVA,LVA,LVA,LVA,LVA,CEU
157,MAC,Macao,EAS,XXXX,XXL,ROWO,ROWO,CHINA+,ASIA,CHINA,CPA,RCPA,XXX,MAC,XXX,XXX,XXX,XXX,XXX,EAS
158,MAF,Saint Martin,CAR,XXXX,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,WEU,WEU,XXX,MAF,MAF,MAF,MAF,XXX,XXX,XXX
159,MAR,Morocco,MED,MIDE,XXL,MidEastNAfr,NAfr,AFRICA,MAF,MAF,MEA,MEA,NAF,MAR,MAR,MAR,MAR,MAR,MAR,MED
160,MCO,Monaco,MED,XXXX,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,WEU,WEU,EU,MCO,MCO,XXX,XXX,XXX,XXX,MED
161,MDA,Moldova,WCE,EURO,XXL,Former_USSR,RFSU,REF_ECON,REF,REF,FSU,FSU,EU,MDA,MDA,MDA,MDA,MDA,MDA,CEU
162,MDG,Madagascar,MDG,SHAF,XXL,RoSAfr,RoSAfr,AFRICA,MAF,MAF,AFR,AFR,SAF,MDG,MDG,MDG,MDG,MDG,MDG,SAF
163,MDV,Maldives,EIO,XXXX,XXL,RSAS,RSAS,INDIA+,ASIA,OTHERASIA,SAS,SAS,XXX,MDV,MDV,MDV,MDV,MDV,MDV,SAS
164,MEX,Mexico,NCA,CEAM,XXL,MEX,MEX,LATIN_AM,LAM,LAM,LAM,LAM,CAM,MEX,MEX,MEX,MEX,MEX,MEX,CAM
165,MHL,Marshall Islands,EPO,XXXX,XXL,ROWO,ROWO,REST_ASIA,ASIA,OTHERASIA,PAS,PAS,XXX,MHL,MHL,MHL,MHL,MHL,MHL,XXX
166,MKD,North Macedonia,MED,EURO,XXL,RCEU,RCEU,EUROPE,OECD90+EU,OTHEROECD,EEU,EEU,EU,MKD,MKD,MKD,MKD,MKD,MKD,MED
167,MLI,Mali,SAH,NHAF,XXL,WestCentAfr,WestCentAfr,AFRICA,MAF,MAF,AFR,AFR,NAF,MLI,MLI,MLI,MLI,MLI,MLI,SAH
168,MLT,Malta,MED,EURO,XXL,EU_South,EU_South,EUROPE,OECD90+EU,EU,WEU,WEU,XXX,MLT,MLT,MLT,MLT,MLT,XXX,MED
169,MMR,Myanmar,SAS,SEAS,XXL,RSEA_OPA,RSEA_OPA,REST_ASIA,ASIA,OTHERASIA,PAS,PAS,SEAS,MMR,MMR,MMR,MMR,MMR,MMR,SAS
170,MNE,Montenegro,MED,EURO,XXL,RCEU,RCEU,EUROPE,OECD90+EU,OTHEROECD,EEU,EEU,EU,MNE,MNE,MNE,MNE,MNE,MNE,MED
171,MNG,Mongolia,ESB,CEAS,XXL,RSEA_PAC,RSEA_PAC,CHINA+,ASIA,OTHERASIA,CPA,RCPA,CAS,MNG,MNG,MNG,MNG,MNG,MNG,TIB
172,MNP,Northern Mariana Islands,NPO,SEAS,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,PAS,PAS,XXX,MNP,MNP,MNP,MNP,MNP,MNP,SEA
173,MOZ,Mozambique,ESAF,SHAF,XXL,RoSAfr,RoSAfr,AFRICA,MAF,MAF,AFR,AFR,SAF,MOZ,MOZ,MOZ,MOZ,MOZ,MOZ,SAF
174,MRT,Mauritania,SAH,NHAF,XXL,WestCentAfr,WestCentAfr,AFRICA,MAF,MAF,AFR,AFR,NAF,MRT,MRT,MRT,MRT,MRT,MRT,SAH
175,MSR,Montserrat,CAR,CEAM,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,LAM,LAM,XXX,MSR,MSR,XXX,XXX,XXX,XXX,XXX
176,MTQ,Martinique,CAR,CEAM,XXL,ROWO,ROWO,LATIN_AM,LAM,LAM,LAM,LAM,XXX,MTQ,MTQ,MTQ,MTQ,XXX,XXX,XXX
177,MUS,Mauritius,SIO,CEAM,XXL,RoSAfr,RoSAfr,AFRICA,MAF,MAF,AFR,AFR,XXX,MUS,MUS,MUS,MUS,MUS,MUS,XXX
178,MWI,Malawi,ESAF,SHAF,XXL,RoSAfr,RoSAfr,AFRICA,MAF,MAF,AFR,AFR,SAF,MWI,MWI,MWI,MWI,MWI,MWI,SAF
179,MYS,Malaysia,SEA,EQAS,XXL,RSEA_OPA,MYS,REST_ASIA,ASIA,OTHERASIA,PAS,PAS,SEAS,MYS,MYS,MYS,MYS,MYS,MYS,SEA
180,MYT,Mayotte,MDG,SHAF,XXL,ROWO,ROWO,AFRICA,MAF,MAF,WEU,WEU,XXX,MYT,MYT,MYT,MYT,XXX,XXX,SAF
181,NAM,Namibia,WSAF,SHAF,XXL,RoSAfr,RoSAfr,AFRICA,MAF,MAF,AFR,AFR,SAF,NAM,NAM,NAM,NAM,NAM,NAM,SAF
182,NCL,New Caledonia,SPO,EQAS,XXL,ROWO,ROWO,REST_ASIA,ASIA,OTHERASIA,PAS,PAS,XXX,NCL,NCL,NCL,NCL,NCL,NCL,XXX
183,NER,Niger,SAH,NHAF,XXL,WestCentAfr,WestCentAfr,AFRICA,MAF,MAF,AFR,AFR,NAF,NER,NER,NER,NER,NER,NER,SAH
184,NFK,Norfolk Island,SPO,XXXX,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,WEU,WEU,XXX,NFK,NFK,NFK,NFK,NFK,XXX,XXX
185,NGA,Nigeria,WAF,NHAF,XXL,WestCentAfr,WestCentAfr,AFRICA,MAF,MAF,AFR,AFR,EQAF,NGA,NGA,NGA,NGA,NGA,NGA,WAF
186,NIC,Nicaragua,SCA,CEAM,XXL,RCAM,RCAM,LATIN_AM,LAM,LAM,LAM,LAM,CAM,NIC,NIC,NIC,NIC,NIC,NIC,CAM
187,NIU,Niue,SPO,XXXX,XXL,ROWO,ROWO,REST_ASIA,ASIA,OTHERASIA,PAS,PAS,XXX,NIU,NIU,NIU,NIU,XXX,XXX,XXX
188,NLD,Netherlands,WCE,EURO,XXL,EU_MidWest,EU_MidWest,EUROPE,OECD90+EU,EU,WEU,WEU,EU,NLD,NLD,NLD,NLD,NLD,NLD,CEU
189,NOR,Norway,NEU,EURO,XXL,ROWE,ROWE,EUROPE,OECD90+EU,OTHEROECD,WEU,WEU,EU,NOR,NOR,NOR,NOR,NOR,NOR,NEU
190,NPL,Nepal,TIB,SEAS,XXL,RSAS,RSAS,INDIA+,ASIA,OTHERASIA,SAS,SAS,SAS,NPL,NPL,NPL,NPL,NPL,NPL,SAS
191,NRU,Nauru,EPO,XXXX,XXL,ROWO,ROWO,REST_ASIA,ASIA,OTHERASIA,PAS,PAS,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX
192,NZL,New Zealand,NZ,AUST,XXL,ANZ,NZL,PAC_OECD,OECD90+EU,OTHEROECD,PAO,PAO,OCE,NZL,NZL,NZL,NZL,NZL,NZL,SAU
193,OMN,Oman,ARP,MIDE,XXL,MidEastNAfr,MidEast,MIDDLE_EAST,MAF,MAF,MEA,MEA,MIDE,OMN,OMN,OMN,OMN,OMN,OMN,WAS
194,PAK,Pakistan,SAS,SEAS,XXL,RSAS,RSAS,INDIA+,ASIA,OTHERASIA,SAS,SAS,SAS,PAK,PAK,PAK,PAK,PAK,PAK,CAS
195,PAN,Panama,SCA,CEAM,XXL,RCAM,RCAM,LATIN_AM,LAM,LAM,LAM,LAM,CAM,PAN,PAN,PAN,PAN,PAN,PAN,CAM
196,PCN,Pitcairn Islands,SPO,XXXX,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,WEU,WEU,XXX,PCN,PCN,PCN,PCN,PCN,PCN,XXX
197,PER,Peru,NWS,SHSA,XXL,RSAM,RSAM,LATIN_AM,LAM,LAM,LAM,LAM,SSA,PER,PER,PER,PER,PER,PER,WSA
198,PHL,Philippines,SEA,SEAS,XXL,RSEA_OPA,RSEA_OPA,REST_ASIA,ASIA,OTHERASIA,PAS,PAS,SEAS,PHL,PHL,PHL,PHL,PHL,PHL,SEA
199,PLW,Palau,EPO,XXXX,XXL,ROWO,ROWO,REST_ASIA,ASIA,OTHERASIA,PAS,PAS,XXX,PLW,PLW,PLW,PLW,PLW,PLW,SEA
200,PNG,Papua New Guinea,SEA,EQAS,XXL,PAC_Islands,PAC_Islands,REST_ASIA,ASIA,OTHERASIA,PAS,PAS,SEAS,PNG,PNG,PNG,PNG,PNG,PNG,SEA
201,POL,Poland,WCE,EURO,XXL,EU_CentEast,EU_CentEast,EUROPE,OECD90+EU,EU,EEU,EEU,EU,POL,POL,POL,POL,POL,POL,CEU
202,PRI,Puerto Rico,CAR,CEAM,XXL,ROWO,ROWO,LATIN_AM,OECD90+EU,OTHEROECD,NAM,NAM,CAM,PRI,PRI,PRI,PRI,PRI,PRI,XXX
203,PRK,North Korea,EAS,CEAS,XXL,RSEA_PAC,RSEA_PAC,CHINA+,ASIA,OTHERASIA,CPA,RCPA,KAJ,PRK,PRK,PRK,PRK,PRK,PRK,EAS
204,PRT,Portugal,MED,EURO,XXL,EU_South,EU_South,EUROPE,OECD90+EU,EU,WEU,WEU,EU,PRT,PRT,PRT,PRT,PRT,PRT,MED
205,PRY,Paraguay,SES,SHSA,XXL,RSAM,RSAM,LATIN_AM,LAM,LAM,LAM,LAM,SSA,PRY,PRY,PRY,PRY,PRY,PRY,SSA
206,PSE,Palestine,MED,MIDE,XXL,ROWO,ROWO,MIDDLE_EAST,MAF,MAF,MEA,MEA,MIDE,PSE,PSE,PSE,PSE,PSE,PSE,MED
207,PYF,French Polynesia,SPO,XXXX,XXL,ROWO,ROWO,REST_ASIA,ASIA,OTHERASIA,PAS,PAS,XXX,PYF,PYF,PYF,PYF,PYF,PYF,XXX
208,QAT,Qatar,ARP,MIDE,XXL,MidEastNAfr,MidEast,MIDDLE_EAST,MAF,MAF,MEA,MEA,MIDE,QAT,QAT,QAT,QAT,QAT,QAT,WAS
209,REU,Reunion,SIO,XXXX,XXL,ROWO,ROWO,AFRICA,MAF,MAF,WEU,WEU,XXX,REU,REU,REU,REU,XXX,XXX,XXX
210,ROU,Romania,WCE,EURO,XXL,EU_CentEast,EU_CentEast,EUROPE,OECD90+EU,EU,EEU,EEU,EU,ROU,ROU,ROU,ROU,ROU,ROU,CEU
211,RU-01,Russia - North Caucasian,WCA,CEAS,XXL,Former_USSR,RUS,REF_ECON,REF,REF,FSU,FSU,RUS,RU-01,RU-01,RU-01,RU-01,RU-01,RU-01,WAS
212,RU-02,Russia - Southern,EEU,CEAS,XXL,Former_USSR,RUS,REF_ECON,REF,REF,FSU,FSU,RUS,RU-02,RU-02,RU-02,RU-02,RU-02,RU-02,WAS
213,RU-03,Russia - Central,WCE,CEAS,XXL,Former_USSR,RUS,REF_ECON,REF,REF,FSU,FSU,RUS,RU-03,RU-03,RU-03,RU-03,RU-03,RU-03,CEU
214,RU-04,Russia - Northwestern,EEU,BOAS,XXL,Former_USSR,RUS,REF_ECON,REF,REF,FSU,FSU,RUS,RU-04,RU-04,RU-04,RU-04,RU-04,RU-04,NEU
215,RU-05,Russia - Volga,EEU,CEAS,XXL,Former_USSR,RUS,REF_ECON,REF,REF,FSU,FSU,RUS,RU-05,RU-05,RU-05,RU-05,RU-05,RU-05,NAS
216,RU-06,Russia - Ural,WSB,BOAS,XXL,Former_USSR,RUS,REF_ECON,REF,REF,FSU,FSU,RUS,RU-06,RU-06,RU-06,RU-06,RU-06,RU-06,NAS
217,RU-07,Russia - Siberian,ESB,BOAS,XXL,Former_USSR,RUS,REF_ECON,REF,REF,FSU,FSU,RUS,RU-07,RU-07,RU-07,RU-07,RU-07,RU-07,NAS
218,RU-08,Russia - Far Eastern,RFE,BOAS,XXL,Former_USSR,RUS,REF_ECON,REF,REF,FSU,FSU,RUS,RU-08,RU-08,RU-08,RU-08,RU-08,RU-08,NAS
219,RU-KG,Kaliningrad,WCE,EURO,XXL,Former_USSR,RUS,REF_ECON,REF,REF,FSU,FSU,EU,RU-KG,RU-KG,RU-KG,RU-KG,RU-KG,RU-KG,CEU
220,RUS,Russia,XXX,XXXX,XXL,Former_USSR,RUS,REF_ECON,REF,REF,FSU,FSU,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX
221,RWA,Rwanda,SEAF,SHAF,XXL,EastAfr,EastAfr,AFRICA,MAF,MAF,AFR,AFR,EQAF,RWA,RWA,RWA,RWA,RWA,RWA,EAF
222,SAU,Saudi Arabia,ARP,MIDE,XXL,MidEastNAfr,MidEast,MIDDLE_EAST,MAF,MAF,MEA,MEA,MIDE,SAU,SAU,SAU,SAU,SAU,SAU,WAS
223,SDN,Sudan,NEAF,NHAF,XXL,WestCentAfr,WestCentAfr,AFRICA,MAF,MAF,MEA,MEA,NAF,SDN,SDN,SDN,SDN,SDN,SDN,SAH
224,SEN,Senegal,WAF,NHAF,XXL,WestCentAfr,WestCentAfr,AFRICA,MAF,MAF,AFR,AFR,NAF,SEN,SEN,SEN,SEN,SEN,SEN,WAF
225,SGP,Singapore,SEA,EQAS,XXL,RSEA_OPA,RSEA_OPA,REST_ASIA,ASIA,OTHERASIA,PAS,PAS,XXX,SGP,SGP,SGP,SGP,SGP,XXX,SEA
226,SGS,South Georgia and the South Sandwich Islands,SOO,XXXX,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,WEU,WEU,XXX,SGS,SGS,SGS,SGS,SGS,SGS,XXX
227,SHN,"Saint Helena, Ascension and Tristan da Cunha",SAO,XXXX,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,ROWO,ROWO,XXX,SHN,SHN,SHN,SHN,SHN,SHN,SAF
228,SJM,Svalbard and Jan Mayen,ARO,EURO,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,WEU,WEU,XXX,SJM,SJM,SJM,SJM,SJM,SJM,XXX
229,SLB,Solomon Islands,EPO,EQAS,XXL,PAC_Islands,PAC_Islands,REST_ASIA,ASIA,OTHERASIA,PAS,PAS,SEAS,SLB,SLB,SLB,SLB,SLB,SLB,XXX
230,SLE,Sierra Leone,WAF,NHAF,XXL,WestCentAfr,WestCentAfr,AFRICA,MAF,MAF,AFR,AFR,EQAF,SLE,SLE,SLE,SLE,SLE,SLE,WAF
231,SLV,El Salvador,SCA,CEAM,XXL,RCAM,RCAM,LATIN_AM,LAM,LAM,LAM,LAM,CAM,SLV,SLV,SLV,SLV,SLV,SLV,CAM
232,SMR,San Marino,MED,EURO,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,WEU,WEU,EU,SMR,SMR,SMR,XXX,XXX,SMR,MED
233,SOM,Somalia,NEAF,NHAF,XXL,WestCentAfr,WestCentAfr,AFRICA,MAF,MAF,AFR,AFR,NAF,SOM,SOM,SOM,SOM,SOM,SOM,EAF
234,SPM,Saint Pierre and Miquelon,ENA,CEAM,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,WEU,WEU,XXX,SPM,SPM,SPM,SPM,XXX,XXX,XXX
235,SRB,Serbia,MED,EURO,XXL,RCEU,RCEU,EUROPE,OECD90+EU,OTHEROECD,EEU,EEU,EU,SRB,SRB,SRB,SRB,SRB,SRB,MED
236,SSD,South Sudan,NEAF,NHAF,XXL,ROWO,ROWO,AFRICA,MAF,MAF,MEA,MEA,NAF,SSD,SSD,SSD,SSD,SSD,SSD,EAF
237,STP,Sao Tome and Principe,WAF,NHAF,XXL,ROWO,ROWO,AFRICA,MAF,MAF,AFR,AFR,XXX,STP,STP,STP,STP,STP,STP,WAF
238,SUR,Suriname,NSA,NHSA,XXL,RSAM,RSAM,LATIN_AM,LAM,LAM,LAM,LAM,NSA,SUR,SUR,SUR,SUR,SUR,SUR,AMZ
239,SVK,Slovakia,WCE,EURO,XXL,EU_CentEast,EU_CentEast,EUROPE,OECD90+EU,EU,EEU,EEU,EU,SVK,SVK,SVK,SVK,SVK,SVK,CEU
240,SVN,Slovenia,WCE,EURO,XXL,EU_CentEast,EU_CentEast,EUROPE,OECD90+EU,EU,EEU,EEU,EU,SVN,SVN,SVN,SVN,SVN,SVN,CEU
241,SWE,Sweden,NEU,EURO,XXL,EU_North,EU_North,EUROPE,OECD90+EU,EU,WEU,WEU,EU,SWE,SWE,SWE,SWE,SWE,SWE,NEU
242,SWZ,Eswatini,ESAF,SHAF,XXL,RoSAfr,RoSAfr,AFRICA,MAF,MAF,AFR,AFR,SAF,SWZ,SWZ,SWZ,SWZ,SWZ,XXX,SAF
243,SXM,Sint Maarten,CAR,XXXX,XXL,RCAM,RCAM,LATIN_AM,LAM,LAM,ROWO,ROWO,XXX,SXM,XXX,XXX,XXX,XXX,XXX,XXX
244,SYC,Seychelles,SEAF,XXXX,XXL,ROWO,ROWO,AFRICA,MAF,MAF,AFR,AFR,XXX,SYC,SYC,SYC,SYC,SYC,SYC,EAF
245,SYR,Syria,MED,MIDE,XXL,MidEastNAfr,MidEast,MIDDLE_EAST,MAF,MAF,MEA,MEA,MIDE,SYR,SYR,SYR,SYR,SYR,SYR,MED
246,TCA,Turks and Caicos Islands,CAR,CEAM,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,LAM,LAM,XXX,TCA,TCA,TCA,TCA,TCA,XXX,XXX
247,TCD,Chad,CAF,NHAF,XXL,WestCentAfr,WestCentAfr,AFRICA,MAF,MAF,AFR,AFR,NAF,TCD,TCD,TCD,TCD,TCD,TCD,SAH
248,TGO,Togo,WAF,NHAF,XXL,WestCentAfr,WestCentAfr,AFRICA,MAF,MAF,AFR,AFR,EQAF,TGO,TGO,TGO,TGO,TGO,TGO,WAF
249,THA,Thailand,SEA,SEAS,XXL,RSEA_OPA,RSEA_OPA,REST_ASIA,ASIA,OTHERASIA,PAS,PAS,SEAS,THA,THA,THA,THA,THA,THA,SEA
250,TJK,Tajikistan,WCA,CEAS,XXL,Former_USSR,RFSU,REF_ECON,REF,REF,FSU,FSU,CAS,TJK,TJK,TJK,TJK,TJK,TJK,CAS
251,TKL,Tokelau,EPO,XXXX,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,PAO,PAO,XXX,TKL,TKL,TKL,TKL,TKL,TKL,XXX
252,TKM,Turkmenistan,WCA,CEAS,XXL,Former_USSR,RFSU,REF_ECON,REF,REF,FSU,FSU,CAS,TKM,TKM,TKM,TKM,TKM,TKM,CAS
253,TLS,Timor-Leste,SEA,EQAS,XXL,ROWO,ROWO,REST_ASIA,ASIA,OTHERASIA,PAS,PAS,SEAS,TLS,TLS,TLS,TLS,TLS,TLS,SEA
254,TON,Tonga,SPO,XXXX,XXL,PAC_Islands,PAC_Islands,REST_ASIA,ASIA,OTHERASIA,PAS,PAS,XXX,TON,TON,TON,TON,TON,TON,XXX
255,TTO,Trinidad and Tobago,NSA,NHSA,XXL,RCAM,RCAM,LATIN_AM,LAM,LAM,LAM,LAM,CAM,TTO,TTO,TTO,TTO,XXX,XXX,AMZ
256,TUN,Tunisia,MED,MIDE,XXL,MidEastNAfr,NAfr,AFRICA,MAF,MAF,MEA,MEA,NAF,TUN,TUN,TUN,TUN,TUN,TUN,MED
257,TUR,Turkey,MED,MIDE,XXL,TUR,TUR,EUROPE,OECD90+EU,OTHEROECD,WEU,WEU,MIDE,TUR,TUR,TUR,TUR,TUR,TUR,MED
258,TUV,Tuvalu,EPO,XXXX,XXL,ROWO,ROWO,REST_ASIA,ASIA,OTHERASIA,PAS,PAS,XXX,TUV,TUV,TUV,TUV,TUV,TUV,XXX
259,TWN,Taiwan,EAS,CEAS,XXL,ROWO,ROWO,REST_ASIA,ASIA,OTHERASIA,PAS,PAS,CHN,TWN,TWN,TWN,TWN,TWN,TWN,EAS
260,TZA,Tanzania,SEAF,SHAF,XXL,EastAfr,EastAfr,AFRICA,MAF,MAF,AFR,AFR,EQAF,TZA,TZA,TZA,TZA,TZA,TZA,EAF
261,UGA,Uganda,SEAF,NHAF,XXL,EastAfr,EastAfr,AFRICA,MAF,MAF,AFR,AFR,EQAF,UGA,UGA,UGA,UGA,UGA,UGA,EAF
262,UKR,Ukraine,WCE,CEAS,XXL,Former_USSR,UKR,REF_ECON,REF,REF,FSU,FSU,EU,UKR,UKR,UKR,UKR,UKR,UKR,CEU
263,UMI,US Minor Outlying Islands,EPO,XXXX,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,NAM,NAM,XXX,UMI,UMI,UMI,UMI,UMI,UMI,XXX
264,URY,Uruguay,SES,SHSA,XXL,RSAM,RSAM,LATIN_AM,LAM,LAM,LAM,LAM,SSA,URY,URY,URY,URY,URY,URY,SSA
265,US-01,Contiguous USA - Northeast,ENA,TENA,XXL,USA,USA,NORTH_AM,OECD90+EU,USA,NAM,NAM,USA,US-01,US-01,US-01,US-01,US-01,US-01,ENA
266,US-02,Contiguous USA - Upper Midwest,CNA,TENA,XXL,USA,USA,NORTH_AM,OECD90+EU,USA,NAM,NAM,USA,US-02,US-02,US-02,US-02,US-02,US-02,CNA
267,US-03,Contiguous USA - Ohio Valley,ENA,TENA,XXL,USA,USA,NORTH_AM,OECD90+EU,USA,NAM,NAM,USA,US-03,US-03,US-03,US-03,US-03,US-03,CNA
268,US-04,Contiguous USA - Southeast,ENA,TENA,XXL,USA,USA,NORTH_AM,OECD90+EU,USA,NAM,NAM,USA,US-04,US-04,US-04,US-04,US-04,US-04,ENA
269,US-05,Contiguous USA - Northern Rockies and Plains,CNA,TENA,XXL,USA,USA,NORTH_AM,OECD90+EU,USA,NAM,NAM,USA,US-05,US-05,US-05,US-05,US-05,US-05,CNA
270,US-06,Contiguous USA - South,CNA,TENA,XXL,USA,USA,NORTH_AM,OECD90+EU,USA,NAM,NAM,USA,US-06,US-06,US-06,US-06,US-06,US-06,CNA
271,US-07,Contiguous USA - Southwest,WNA,TENA,XXL,USA,USA,NORTH_AM,OECD90+EU,USA,NAM,NAM,USA,US-07,US-07,US-07,US-07,US-07,US-07,WNA
272,US-08,Contiguous USA - Northwest,WNA,TENA,XXL,USA,USA,NORTH_AM,OECD90+EU,USA,NAM,NAM,USA,US-08,US-08,US-08,US-08,US-08,US-08,WNA
273,US-09,Contiguous USA - West,WNA,TENA,XXL,USA,USA,NORTH_AM,OECD90+EU,USA,NAM,NAM,USA,US-09,US-09,US-09,US-09,US-09,US-09,WNA
274,US-AK,Alaska,NWN,BONA,XXL,USA,USA,NORTH_AM,OECD90+EU,USA,NAM,NAM,USA,US-AK,US-AK,US-AK,US-AK,US-AK,US-AK,ALA
275,US-HI,Hawaii,NPO,TENA,XXL,USA,USA,NORTH_AM,OECD90+EU,USA,NAM,NAM,USA,US-HI,US-HI,US-HI,US-HI,US-HI,US-HI,XXX
276,USA,United States of America,XXX,XXXX,XXL,USA,USA,NORTH_AM,OECD90+EU,USA,NAM,NAM,USA,XXX,XXX,XXX,XXX,XXX,XXX,XXX
277,UZB,Uzbekistan,WCA,CEAS,XXL,Former_USSR,RFSU,REF_ECON,REF,REF,FSU,FSU,CAS,UZB,UZB,UZB,UZB,UZB,UZB,CAS
278,VAT,Vatican,MED,EURO,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,WEU,WEU,XXX,XXX,XXX,XXX,XXX,XXX,XXX,MED
279,VCT,Saint Vincent and the Grenadines,CAR,XXXX,XXL,RCAM,RCAM,LATIN_AM,LAM,LAM,LAM,LAM,CAM,VCT,VCT,VCT,VCT,XXX,VCT,XXX
280,VEN,Venezuela,NSA,NHSA,XXL,RSAM,RSAM,LATIN_AM,LAM,LAM,LAM,LAM,NSA,VEN,VEN,VEN,VEN,VEN,VEN,AMZ
281,VGB,British Virgin Islands,CAR,CEAM,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,WEU,WEU,XXX,VGB,VGB,VGB,XXX,XXX,XXX,XXX
282,VIR,US Virgin Islands,CAR,CEAM,XXL,ROWO,ROWO,LATIN_AM,LAM,LAM,NAM,NAM,XXX,VIR,VIR,VIR,VIR,VIR,VIR,XXX
283,VNM,Vietnam,SEA,SEAS,XXL,RSEA_PAC,RSEA_PAC,REST_ASIA,ASIA,OTHERASIA,CPA,RCPA,SEAS,VNM,VNM,VNM,VNM,VNM,VNM,SEA
284,VUT,Vanuatu,SPO,EQAS,XXL,PAC_Islands,PAC_Islands,REST_ASIA,ASIA,OTHERASIA,PAS,PAS,XXX,VUT,VUT,VUT,VUT,VUT,VUT,XXX
285,WLF,Wallis and Futuna,SPO,XXXX,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,WEU,WEU,XXX,WLF,WLF,WLF,WLF,WLF,WLF,XXX
286,WSM,Samoa,SPO,XXXX,XXL,PAC_Islands,PAC_Islands,REST_ASIA,ASIA,OTHERASIA,PAS,PAS,XXX,WSM,WSM,WSM,WSM,WSM,WSM,XXX
287,XAB,Abyei,NEAF,NHAF,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,ROWO,ROWO,NAF,XAB,XAB,XAB,XAB,XAB,XAB,EAF
288,XAC,Aksai Chin,TIB,CEAS,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,ROWO,ROWO,CHN,XAC,XAC,XAC,XAC,XAC,XAC,TIB
289,XAD,Akrotiri and Dhekelia,MED,EURO,XXL,ROWO,ROWO,ROWO,ROWO,ROWO,ROWO,ROWO,EU,XAD,XAD,XAD,XAD,XXX,XAD,MED
